Nom du projet,Adresse du projet,Code postal,Nombre d'arbres,Saison de plantation,Type d'école,Nom de l'école,Geo_shape,Geo_point_2d,Moyenne du nombre d'arbres,Médiane du nombre d'arbres,Ecart type du nombre d'arbres,Minimum du nombre d'arbres,Maximum du nombre d'arbres,Moyenne du nombre d'arbres plantés pour les écoles maternelles,Moyenne du nombre d'arbres plantés pour les écoles élémentaires,Moyenne du nombre d'arbres plantés pour les écoles polyvalentes,Moyenne du nombre d'arbres plantés pour les écoles maternelles et crèches,Moyenne du nombre d'arbres plantés pour les centres de ressources d'éducation à l'env
VERGER EE MANIN (40B),40B RUE MANIN,75019,6,2017 - 2018,Ecole élémentaire,Ecole élémentaire Manin,"{""coordinates"": [2.3908369935211717, 48.88383955496087], ""type"": ""Point""}","48.88383955496087, 2.3908369935211717",,,,,,,,,,
VERGER EM PEREIRE (221),221 BOULEVARD PEREIRE,75017,8,2017 - 2018,Ecole maternelle,Ecole maternelle Pereire,"{""coordinates"": [2.2900461386326874, 48.880334471204975], ""type"": ""Point""}","48.880334471204975, 2.2900461386326874",,,,,,,,,,
VERGER EE TANGER (41) B,41 RUE DE TANGER,75019,4,2017 - 2018,Ecole élémentaire,Ecole élémentaire Tanger,"{""coordinates"": [2.370024428922296, 48.8878958377774], ""type"": ""Point""}","48.8878958377774, 2.370024428922296",,,,,,,,,,
VERGER EM MARCADET (29),29 RUE MARCADET,75018,23,2017 - 2018,Ecole maternelle,Ecole maternelle Marcadet,"{""coordinates"": [2.352760159585458, 48.88995614582534], ""type"": ""Point""}","48.88995614582534, 2.352760159585458",,,,,,,,,,
VERGER EM ARMAND ROUSSEAU (13) - Phase 2,RUE ARMAND ROUSSEAU,75012,3,2017 - 2018,Ecole maternelle,Ecole maternelle Armand Rousseau,"{""coordinates"": [2.4088271529436414, 48.83661272975166], ""type"": ""Point""}","48.83661272975166, 2.4088271529436414",,,,,,,,,,
VERGER EM GUSTAVE DORE (3),3 RUE GUSTAVE DORE,75017,12,2017 - 2018,Ecole maternelle,Ecole maternelle Gustave Doré,"{""coordinates"": [2.3028497681428917, 48.886156996326136], ""type"": ""Point""}","48.886156996326136, 2.3028497681428917",,,,,,,,,,
VERGER EM AMANDIERS (90),90 RUE DES AMANDIERS,75020,6,2018 - 2019,Ecole maternelle,Ecole maternelle Amandiers,"{""coordinates"": [2.389564846371765, 48.8672052757406], ""type"": ""Point""}","48.8672052757406, 2.389564846371765",,,,,,,,,,
VERGER EM NOYER DURAND (5),5 RUE DU NOYER DURAND,75019,5,2016 - 2017,Ecole maternelle,Ecole maternelle Noyer Durand,"{""coordinates"": [2.398855769308396, 48.88694165939791], ""type"": ""Point""}","48.88694165939791, 2.398855769308396",,,,,,,,,,
VERGER EM LAMARCK (4),4 SQUARE LAMARCK,75018,5,2016 - 2017,Ecole maternelle,Ecole maternelle Lamarck,"{""coordinates"": [2.3360181796391757, 48.890870860110574], ""type"": ""Point""}","48.890870860110574, 2.3360181796391757",,,,,,,,,,
VERGER EE CHAT.DES RENTIERS (37),37 RUE DU CHATEAU DES RENTIERS,75013,1,2015 - 2016,Ecole élémentaire,Ecole élémentaire Chateau des Rentiers,"{""coordinates"": [2.3697767646271064, 48.824340489680324], ""type"": ""Point""}","48.824340489680324, 2.3697767646271064",,,,,,,,,,
VERGER EP PIERRE FONCIN (4),4 RUE PIERRE FONCIN,75020,7,2016 - 2017,Ecole polyvalente,Ecole polyvalente Foncin,"{""coordinates"": [2.4097154761276776, 48.87109626215163], ""type"": ""Point""}","48.87109626215163, 2.4097154761276776",,,,,,,,,,
VERGER EM LESSEPS (9),9 RUE DE LESSEPS,75020,8,2017 - 2018,Ecole maternelle,Ecole maternelle Lesseps,"{""coordinates"": [2.400007861844602, 48.858393566450985], ""type"": ""Point""}","48.858393566450985, 2.400007861844602",,,,,,,,,,
VERGER EP FOREST (14),14 RUE FOREST,75018,6,2017 - 2018,Ecole polyvalente,Ecole polyvalente Forest,"{""coordinates"": [2.3291371689471894, 48.885938527126], ""type"": ""Point""}","48.885938527126, 2.3291371689471894",,,,,,,,,,
VERGER EM D ARTAGNAN (12),12 RUE D ARTAGNAN,75012,10,2018 - 2019,Ecole maternelle,Ecole maternelle d Artagnan,"{""coordinates"": [2.3869008797932256, 48.845084488009405], ""type"": ""Point""}","48.845084488009405, 2.3869008797932256",,,,,,,,,,
VERGER EM MOUFFETARD (97),97 RUE MOUFFETARD,75005,3,2016 - 2017,Ecole maternelle,Ecole maternelle Mouffetard,"{""coordinates"": [2.3500087494911193, 48.84125490684287], ""type"": ""Point""}","48.84125490684287, 2.3500087494911193",,,,,,,,,,
VERGER EP MACDONALD (141),141 BOULEVARD MACDONALD,75019,19,2018 - 2019,Ecole polyvalente,Ecole polyvalente Macdonald,"{""coordinates"": [2.379098611912108, 48.89826259274128], ""type"": ""Point""}","48.89826259274128, 2.379098611912108",,,,,,,,,,
VERGER EE COMPANS A (106),106 RUE COMPANS,75019,8,2018 - 2019,Ecole élémentaire,Ecole élémentaire A Compans,"{""coordinates"": [2.3896321930030457, 48.880601598636076], ""type"": ""Point""}","48.880601598636076, 2.3896321930030457",,,,,,,,,,
VERGER EM SURMELIN (18),18 RUE DU SURMELIN,75020,10,2018 - 2019,Ecole maternelle,Ecole maternelle Surmelin,"{""coordinates"": [2.4026821486740664, 48.86777280933286], ""type"": ""Point""}","48.86777280933286, 2.4026821486740664",,,,,,,,,,
VERGER EM VITRUVE (61),61 RUE VITRUVE,75020,6,2018 - 2019,Ecole maternelle,Ecole maternelle Vitruve,"{""coordinates"": [2.4068062801743846, 48.859641589795906], ""type"": ""Point""}","48.859641589795906, 2.4068062801743846",,,,,,,,,,
